date_time,holiday,temp,clouds_all,weather_main,traffic_volume,year,month,weekday,hour,day_part
2012-10-02 12:00:00,None,290.13,90,Clouds,5026,2012,10,1,12,morning
2012-10-03 14:00:00,None,294.31,1,Clear,5337,2012,10,2,14,afternoon
2012-10-02 16:00:00,None,293.86,1,Clear,6015,2012,10,1,16,afternoon
2012-10-02 20:00:00,None,289.38,1,Clear,2784,2012,10,1,20,night
2012-10-03 01:00:00,None,283.47,1,Clear,321,2012,10,2,1,dawn
2012-10-03 04:00:00,None,279.53,1,Clear,814,2012,10,2,4,dawn
2012-10-03 13:00:00,None,293.23,1,Clear,4887,2012,10,2,13,afternoon
2012-10-04 01:00:00,None,283.47,1,Clear,369,2012,10,3,1,dawn
2012-10-04 12:00:00,None,294.97,1,Clear,5104,2012,10,3,12,morning
2012-10-04 23:00:00,None,291.12,75,Clouds,1166,2012,10,3,23,night
2012-10-05 06:00:00,None,282.24,90,Clouds,5537,2012,10,4,6,morning
2012-10-05 21:00:00,None,279.65,75,Clouds,2971,2012,10,4,21,night
2012-10-06 05:00:00,None,276.35,20,Clouds,688,2012,10,5,5,dawn
2012-10-06 07:00:00,None,275.17,1,Clear,2072,2012,10,5,7,morning
2012-10-06 11:00:00,None,278.04,20,Clouds,5191,2012,10,5,11,morning
2012-10-06 16:00:00,None,279.06,90,Clouds,5024,2012,10,5,16,afternoon
2012-10-06 21:00:00,None,277.93,90,Clouds,2992,2012,10,5,21,night
2012-10-07 10:00:00,None,276.24,75,Clouds,4624,2012,10,6,10,morning
2012-10-07 18:00:00,None,279.27,90,Clouds,4015,2012,10,6,18,afternoon
2012-10-07 20:00:00,None,276.79,75,Clouds,2815,2012,10,6,20,night
2012-10-08 21:00:00,None,279.35,1,Clear,2030,2012,10,0,21,night
2012-10-09 07:00:00,None,277.31,75,Clouds,6449,2012,10,1,7,morning
2012-10-09 14:00:00,None,286.35,90,Clouds,5300,2012,10,1,14,afternoon
2012-10-10 03:00:00,None,281.17,90,Clouds,361,2012,10,2,3,dawn
2012-10-10 09:00:00,None,279.61,99,Rain,5680,2012,10,2,9,morning
2012-10-10 13:00:00,None,282.26,75,Clouds,5067,2012,10,2,13,afternoon
2012-10-11 08:00:00,None,272.52,1,Clear,6304,2012,10,3,8,morning
2012-10-11 10:00:00,None,275.34,1,Clear,4638,2012,10,3,10,morning
2012-10-12 04:00:00,None,282.26,72,Rain,739,2012,10,4,4,dawn
2012-10-12 12:00:00,None,280.95,40,Clouds,5526,2012,10,4,12,morning
2012-10-12 15:00:00,None,282.45,75,Clouds,5889,2012,10,4,15,afternoon
2012-10-13 02:00:00,None,270.99,1,Clear,570,2012,10,5,2,dawn
2012-10-13 11:00:00,None,279.22,1,Clear,4438,2012,10,5,11,morning
2012-10-13 13:00:00,None,281.81,1,Clear,4440,2012,10,5,13,afternoon
2012-10-13 16:00:00,None,284.53,1,Clear,4591,2012,10,5,16,afternoon
2012-10-14 02:00:00,None,282.58,90,Clouds,654,2012,10,6,2,dawn
2012-10-14 12:00:00,None,283.33,57,Mist,4076,2012,10,6,12,morning
2012-10-14 12:00:00,None,283.33,57,Drizzle,4076,2012,10,6,12,morning
2012-10-14 17:00:00,None,284.64,93,Rain,4271,2012,10,6,17,afternoon
2012-10-14 17:00:00,None,284.64,93,Mist,4271,2012,10,6,17,afternoon
2012-10-15 02:00:00,None,281.42,85,Fog,239,2012,10,0,2,dawn
2012-10-15 09:00:00,None,279.75,100,Mist,5094,2012,10,0,9,morning
2012-10-16 08:00:00,None,274.99,20,Clouds,6408,2012,10,1,8,morning
2012-10-16 20:00:00,None,287.04,90,Clouds,2777,2012,10,1,20,night
2012-10-17 02:00:00,None,286.93,90,Clouds,267,2012,10,2,2,dawn
2012-10-17 03:00:00,None,287.07,90,Clouds,358,2012,10,2,3,dawn
2012-10-17 04:00:00,None,286.56,75,Clouds,777,2012,10,2,4,dawn
2012-10-17 08:00:00,None,285.35,75,Clouds,6274,2012,10,2,8,morning
2012-10-18 12:00:00,None,288.27,99,Rain,5147,2012,10,3,12,morning
2012-10-18 15:00:00,None,287.04,90,Clouds,5887,2012,10,3,15,afternoon
2012-10-18 18:00:00,None,286.01,90,Clouds,4519,2012,10,3,18,afternoon
2012-10-18 21:00:00,None,282.51,100,Drizzle,2649,2012,10,3,21,night
2012-10-19 13:00:00,None,281.51,90,Clouds,4908,2012,10,4,13,afternoon
2012-10-19 20:00:00,None,281.26,90,Clouds,2908,2012,10,4,20,night
2012-10-19 23:00:00,None,280.1,92,Drizzle,2051,2012,10,4,23,night
2012-10-20 00:00:00,None,280.06,92,Rain,1270,2012,10,5,0,night
2012-10-20 03:00:00,None,280.62,96,Mist,432,2012,10,5,3,dawn
2012-10-20 04:00:00,None,280.91,96,Rain,401,2012,10,5,4,dawn
2012-10-20 08:00:00,None,281.19,100,Drizzle,2787,2012,10,5,8,morning
2012-10-20 12:00:00,None,282.71,100,Rain,4613,2012,10,5,12,morning
2012-10-21 18:00:00,None,282.6,75,Clouds,4335,2012,10,6,18,afternoon
